Data;Aplic_altura;Aplic_fluxo;CFM_altura;CFM_fluxo;Bot_altura;Bot_fluxo
02/04/2019;Médio;Alto;Médio;Médio;Médio;Médio
03/04/2019;Médio;Alto;Médio;Médio;Médio;Baixo
04/04/2019;;;Médio;Baixo;Baixo;Baixo
05/04/2019;;;;;;
06/04/2019;;;;;;
07/04/2019;;;;;;
08/04/2019;Alto;Alto;Médio;Médio;Médio;Médio
09/04/2019;Alto;Alto;Alto;Alto;Médio;Médio
10/04/2019;Alto;Alto;Alto;Alto;Alto;Alto
11/04/2019;Alto;Médio;Médio;Alto;Médio;Médio
12/04/2019;Médio;Médio;Médio;Alto;Médio;Médio
13/04/2019;;;;;;
14/04/2019;;;;;;
15/04/2019;Médio;Médio;Médio;Médio;Médio;Baixo
16/04/2019;Médio;Alto;Médio;Alto;Alto;Alto
17/04/2019;Alto;Médio;Médio;Baixo;Médio;Médio
18/04/2019;Médio;Médio;Médio;Médio;Médio;Baixo
19/04/2019;;;;;;
20/04/2019;;;;;;
21/04/2019;;;;;;
22/04/2019;Baixo;Médio;Médio;Baixo;Médio;Baixo
23/04/2019;Baixo;Médio;Médio;Baixo;Médio;Baixo
24/04/2019;Médio;Médio;Médio;Médio;Alto;Médio
25/04/2019;Médio;Baixo;Médio;Baixo;Médio;Médio
26/04/2019;Alto;Médio;;;Médio;Baixo
27/04/2019;;;;;;
28/04/2019;;;;;;
29/04/2019;Médio;Médio;Médio;Alto;Alto;Médio
30/04/2019;Médio;Médio;Baixo;Alto;Médio;Médio
01/05/2019;;;;;;
02/05/2019;Baixo;Médio;Baixo;Médio;Médio;Médio
03/05/2019;Baixo;Médio;Baixo;Alto;Médio;Alto
04/05/2019;;;;;;
05/05/2019;;;;;;
06/05/2019;Baixo;Médio;Baixo;Médio;Baixo;Baixo
07/05/2019;Baixo;Médio;Médio;Médio;Médio;Médio
08/05/2019;Médio;Baixo;Médio;Médio;Baixo;Baixo
