Data,Horário,Pluviógrafo,Piranômetro superior,Piranômetro inferior,Temperatura do Ar,Umidade relativa do ar
DD/MM/YY,HH:MM:SS,Polegadas,(J/m²),(J/m²),C°,%
14/08/2019,17:00:00,0,45.766,113.556,16.066,100.112
14/08/2019,17:05:00,0,47.049,70.453,15.847,100.06
14/08/2019,17:10:00,0,62.867,94.145,15.756,100.136
14/08/2019,17:15:00,0,36.785,93.813,15.735,100.089
14/08/2019,17:20:00,0,19.996,73.3,15.575,100.102
14/08/2019,17:25:00,0,20.564,99.881,15.423,100.105
14/08/2019,17:30:00,0,10.356,87.142,15.355,100.128
14/08/2019,17:35:00,0,57.9,70.682,15.361,100.05
14/08/2019,17:40:00,0,31.873,71.472,15.229,100.084
14/08/2019,17:45:00,0,79.38,63.948,15.085,100.094
14/08/2019,17:50:00,0,44.245,61.454,14.975,100.073
14/08/2019,17:55:00,0,87.39,63.761,14.862,100.1
14/08/2019,18:00:00,0,45.619,49.109,14.784,100.043
14/08/2019,18:05:00,0,66.715,69.58,14.663,100.105
14/08/2019,18:10:00,0,65.121,76.293,14.583,100.118
14/08/2019,18:15:00,0,37.518,88.783,14.541,100.093
14/08/2019,18:20:00,0,30.059,69.269,14.488,100.138
14/08/2019,18:25:00,0,69.098,92.94,14.519,100.08
14/08/2019,18:30:00,0,56.946,96.847,14.419,100.118
14/08/2019,18:35:00,0,61.089,72.303,14.398,100.08
14/08/2019,18:40:00,0,42.027,81.821,14.298,100.05
14/08/2019,18:45:00,0,46.902,107.072,14.258,100.077
14/08/2019,18:50:00,0,39.736,110.834,14.26,100.08
14/08/2019,18:55:00,0,31.067,79.348,14.173,100.027
14/08/2019,19:00:00,0,41.917,115.219,14.218,100.103
14/08/2019,19:05:00,0,50.458,106.74,14.288,100.061
14/08/2019,19:10:00,0,43.017,39.487,14.099,100.15
14/08/2019,19:15:00,0,27.254,134.194,14.169,100.08
14/08/2019,19:20:00,0,21.463,68.022,14.19,100.064
14/08/2019,19:25:00,0,82.826,76.272,14.194,100.082
14/08/2019,19:30:00,0,60.264,106.116,14.184,100.088
14/08/2019,19:35:00,0,53.061,88.846,14.197,100.099
14/08/2019,19:40:00,0,49.23,93.501,14.085,100.064
14/08/2019,19:45:00,0,43.567,99.237,14.079,100.056
14/08/2019,19:50:00,0,62.995,109.732,14.084,100.011
14/08/2019,19:55:00,0,39.168,72.261,14.052,100.045
14/08/2019,20:00:00,0,61.089,105.68,14.05,100.065
14/08/2019,20:05:00,0,103.904,85.292,13.921,100.077
14/08/2019,20:10:00,0,46.023,74.859,13.721,100.091
14/08/2019,20:15:00,0,76.979,112.309,13.803,100.093
14/08/2019,20:20:00,0,65.799,105.68,13.607,100.068
14/08/2019,20:25:00,0,64.369,89.241,13.462,100.063
14/08/2019,20:30:00,0,76.008,42.272,13.377,100.09
14/08/2019,20:35:00,0,51.081,104.142,13.347,100.077
14/08/2019,20:40:00,0,55.773,61.662,13.306,100.058
14/08/2019,20:45:00,0,72.562,88.929,13.173,100.124
14/08/2019,20:50:00,0,36.529,79.016,13.161,100.12
14/08/2019,20:55:00,0,51.485,117.983,13.188,100.067
14/08/2019,21:00:00,0,69.575,81.759,13.162,100.092
14/08/2019,21:05:00,0,70.399,76.584,13.147,100.08
14/08/2019,21:10:00,0,85.74,58.628,12.891,100.106
14/08/2019,21:15:00,0,68.017,53.224,12.948,100.052
14/08/2019,21:20:00,0,59.641,107.8,12.842,100.084
14/08/2019,21:25:00,0,33.614,96.307,12.886,100.116
14/08/2019,21:30:00,0,31.946,85.271,13.055,100.11
14/08/2019,21:35:00,0,74.56,41.441,13.06,100.052
14/08/2019,21:40:00,0,50.99,89.739,12.952,100.073
14/08/2019,21:45:00,0,73.644,97.387,12.735,100.114
14/08/2019,21:50:00,0,38.765,99.299,12.462,100.12
14/08/2019,21:55:00,0,32.276,54.492,12.322,100.049
14/08/2019,22:00:00,0,50.788,91.07,12.21,100.065
14/08/2019,22:05:00,0,50.458,126.338,12.065,100.11
14/08/2019,22:10:00,0,46.976,108.963,12.036,100.109
14/08/2019,22:15:00,0,85.539,71.347,11.937,100.094
14/08/2019,22:20:00,0,53.281,67.835,12.089,100.103
14/08/2019,22:25:00,0,58.889,106.906,12.027,100.078
14/08/2019,22:30:00,0,36.107,67.273,12.13,100.101
