Data,Horário,Pluviógrafo,Piranômetro superior,Piranômetro inferior,Temperatura do Ar,Umidade relativa do ar
DD/MM/YY,HH:MM:SS,Polegadas,(J/m²),(J/m²),C°,%
28/02/2019,15:30:00,0,577.217,109.005,27.626,0.122
28/02/2019,15:35:00,0,691.935,48.278,26.884,0.076
28/02/2019,15:40:00,0,638.251,77.041,26.537,0.121
28/02/2019,15:45:00,0,434.2,102.625,27.181,0.176
28/02/2019,15:50:00,0,378.427,34,26.968,0.164
28/02/2019,15:55:00,0,438.196,86.975,26.935,0.134
28/02/2019,16:00:00,0,541.843,22.736,26.33,0.142
28/02/2019,16:05:00,0,562.023,48.465,26.161,0.154
28/02/2019,16:10:00,0,452.804,31.403,26.186,0.153
28/02/2019,16:15:00,0,361.143,27.994,25.911,0.145
28/02/2019,16:20:00,0,284.494,35.393,25.875,0.177
28/02/2019,16:25:00,0,242.613,28.14,25.46,0.158
28/02/2019,16:30:00,0,304.582,20.928,25.758,0.156
28/02/2019,16:35:00,0,268.731,36.952,26.025,0.104
28/02/2019,16:40:00,0,36.913,91.776,26.065,0.123
28/02/2019,16:45:00,0,20.968,99.299,26.83,0.142
28/02/2019,16:50:00,0,0,47.738,26.149,0.102
28/02/2019,16:55:00,0,0,64.78,26.308,0.114
28/02/2019,17:00:00,0,0,47.156,26.288,0.167
28/02/2019,17:05:00,0,0,63.075,25.893,0.151
28/02/2019,17:10:00,0,173.552,41.835,25.595,0.15
28/02/2019,17:15:00,0,247.635,29.22,25.589,0.141
28/02/2019,17:20:00,0,251.759,62.618,25.524,0.135
28/02/2019,17:25:00,0,194.556,3.658,25.823,0.116
28/02/2019,17:30:00,0,162.665,16.792,25.712,0.141
28/02/2019,17:35:00,0,193.512,0,25.486,0.135
28/02/2019,17:40:00,0,223.02,6.172,25.224,0.151
28/02/2019,17:45:00,0,236.62,23.443,25.185,0.153
28/02/2019,17:50:00,0,463.929,3.138,25.102,0.161
28/02/2019,17:55:00,0,410.667,41.461,25.149,0.136
28/02/2019,18:00:00,0,498.918,0,25.065,0.131
28/02/2019,18:05:00,0,569.098,3.99,25.097,0.175
28/02/2019,18:10:00,0,568.236,17.499,24.996,0.155
28/02/2019,18:15:00,0,605.021,0,25.035,0.177
28/02/2019,18:20:00,0,668.786,26.269,24.927,0.145
28/02/2019,18:25:00,0,726.447,40.422,25.042,0.154
28/02/2019,18:30:00,0,660.886,25.978,24.916,0.152
28/02/2019,18:35:00,0,594.061,12.366,24.814,0.156
28/02/2019,18:40:00,0,585.043,2.785,24.777,0.177
28/02/2019,18:45:00,0,585.685,36.494,24.644,0.141
28/02/2019,18:50:00,0,594.684,0,24.594,0.182
28/02/2019,18:55:00,0,664.827,9.893,24.551,0.116
28/02/2019,19:00:00,0,745.142,0,24.579,0.13
28/02/2019,19:05:00,0,886.234,8.188,24.548,0.166
28/02/2019,19:10:00,0,1016.476,0,24.533,0.108
28/02/2019,19:15:00,0,1164.222,26.228,24.586,0.157
28/02/2019,19:20:00,0,1241.439,17.686,24.534,0.147
28/02/2019,19:25:00,0,1337.792,0,24.531,0.114
28/02/2019,19:30:00,0,1411.582,0,24.572,0.163
28/02/2019,19:35:00,0,1410.519,0,24.499,0.133
28/02/2019,19:40:00,0,1310.758,14.943,24.475,0.138
28/02/2019,19:45:00,0,1487.755,5.507,24.431,0.153
28/02/2019,19:50:00,0,1333.65,0.125,24.354,0.131
28/02/2019,19:55:00,0,1404.929,0,24.284,0.127
28/02/2019,20:00:00,0,1436.765,8.084,24.287,0.093
28/02/2019,20:05:00,0,1532.678,0,24.207,0.168
28/02/2019,20:10:00,0,1627.564,0,24.334,0.102
28/02/2019,20:15:00,0,1767.264,0,24.418,0.17
28/02/2019,20:20:00,0,2197.542,0,24.339,0.151
28/02/2019,20:25:00,0,2115.577,0,24.237,0.124
28/02/2019,20:30:00,0,2226.941,0,24.284,0.205
28/02/2019,20:35:00,0,2334.254,20.824,24.451,0.157
28/02/2019,20:40:00,0,2464.972,0,24.336,0.124
28/02/2019,20:45:00,0,2552.069,0,24.206,0.167
28/02/2019,20:50:00,0,2526.904,0,23.835,0.174
28/02/2019,20:55:00,0.027,2017.74,0,22.895,0.05
28/02/2019,21:00:00,0.027,1791.622,26.269,22.35,0.149
28/02/2019,21:05:00,0.009,1718.638,0,21.796,0.126
28/02/2019,21:10:00,0,1848.752,0,21.416,0.139
28/02/2019,21:15:00,0,1865.834,25.251,21.393,0.176
28/02/2019,21:20:00,0,1897.964,0,21.344,0.114
28/02/2019,21:25:00,0.009,1852.912,0,21.252,0.143
28/02/2019,21:30:00,0,1949.705,16.813,21.286,0.142
28/02/2019,21:35:00,0,1987.022,3.928,21.238,0.121
28/02/2019,21:40:00,0,1967.722,17.104,21.169,0.12
28/02/2019,21:45:00,0,2052.307,2.016,21.156,0.132
28/02/2019,21:50:00,0,2314.441,7.69,21.13,0.142
28/02/2019,21:55:00,0,2403.718,6.962,21.218,100.173
28/02/2019,22:00:00,0,2561.618,9.207,21.29,100.118
28/02/2019,22:05:00,0,2549.961,0,21.217,100.098
28/02/2019,22:10:00,0,2641.603,0,21.137,100.117
28/02/2019,22:15:00,0,2802.82,2.993,21.085,100.126
28/02/2019,22:20:00,0,2793.912,17.27,20.985,100.157
28/02/2019,22:25:00,0,2811.929,2.494,21.019,100.11
28/02/2019,22:30:00,0,2843.216,22.071,21.091,100.107
28/02/2019,22:35:00,0,2951.665,19.536,21.171,100.14
28/02/2019,22:40:00,0,2953.241,0,21.289,100.104
28/02/2019,22:45:00,0,2976.17,33.564,21.262,100.101
28/02/2019,22:50:00,0,3039.257,29.782,21.474,100.086
28/02/2019,22:55:00,0,3131.724,14.714,21.413,100.092
28/02/2019,23:00:00,0,3150.217,35.31,21.369,100.086
28/02/2019,23:05:00,0,3165.32,2.432,21.326,100.078
28/02/2019,23:10:00,0,3171.258,0,21.419,100.09
28/02/2019,23:15:00,0,3188.468,0,21.479,100.091
28/02/2019,23:20:00,0,3144.572,0,21.648,100.12
28/02/2019,23:25:00,0,3132.383,0,21.752,100.1
28/02/2019,23:30:00,0,3139.238,0,21.634,100.092
28/02/2019,23:35:00,0,3137.699,10.911,21.477,100.06
28/02/2019,23:40:00,0,3134.894,0,21.516,100.077
28/02/2019,23:45:00,0,3117.446,8.126,21.577,99.845
28/02/2019,23:50:00,0,3020.287,4.759,21.614,100.085
28/02/2019,23:55:00,0,3016.401,1.974,21.682,100.049
01/03/2019,00:00:00,0,3057.805,12.657,21.717,99.839
01/03/2019,00:05:00,0,3001.097,6.484,21.705,100.051
01/03/2019,00:10:00,0,2946.826,16.273,21.789,98.799
01/03/2019,00:15:00,0,3008.318,0,21.773,100.07
01/03/2019,00:20:00,0,3026.298,0,21.523,100.137
01/03/2019,00:25:00,0,3065.466,0,21.604,100.068
01/03/2019,00:30:00,0,3146.771,0,21.57,100.09
01/03/2019,00:35:00,0,3212.662,2.016,21.596,100.081
01/03/2019,00:40:00,0,3336.929,5.881,21.601,100.1
01/03/2019,00:45:00,0,3367.244,3.907,21.458,100.075
01/03/2019,00:50:00,0,3459.106,14.111,21.57,99.266
01/03/2019,00:55:00,0,3496.038,0,21.549,99.336
01/03/2019,01:00:00,0,3495.799,10.412,21.505,98.233
01/03/2019,01:05:00,0,3511.965,0.707,21.653,97.572
01/03/2019,01:10:00,0,3503.222,21.926,21.58,96.213
01/03/2019,01:15:00,0,3501.775,21.51,21.655,96.138
01/03/2019,01:20:00,0,3486.635,17.686,21.524,95.125
01/03/2019,01:25:00,0,3438.926,0,21.706,97.138
01/03/2019,01:30:00,0,3519.975,0,21.601,95.37
01/03/2019,01:35:00,0,3490.228,0,21.604,95.608
01/03/2019,01:40:00,0,3479.964,0,21.687,94.102
01/03/2019,01:45:00,0,3413.468,5.778,21.701,93.214
01/03/2019,01:50:00,0,3404.451,42.417,21.808,94.212
01/03/2019,01:55:00,0,3379.835,1.891,21.749,93.374
01/03/2019,02:00:00,0,3342.317,27.371,21.751,91.844
01/03/2019,02:05:00,0,3274.997,8.562,21.833,91.194
01/03/2019,02:10:00,0,3297.321,31.901,21.883,91.328
01/03/2019,02:15:00,0,3354.396,6.837,21.901,91.677
01/03/2019,02:20:00,0,3374.85,5.694,21.963,92.744
01/03/2019,02:25:00,0,3409.656,0,22.019,94.959
01/03/2019,02:30:00,0,3422.504,1.808,21.936,93.428
01/03/2019,02:35:00,0,3438.615,0,21.841,93.812
01/03/2019,02:40:00,0,3381.283,1.392,21.89,94.049
01/03/2019,02:45:00,0,3347.559,0,21.817,94.311
01/03/2019,02:50:00,0,3337.442,0,21.942,95.303
01/03/2019,02:55:00,0,3307.621,0,21.624,95.516
01/03/2019,03:00:00,0,3301.646,6.276,21.52,95.979
01/03/2019,03:05:00,0,3312.735,7.981,21.582,97.035
01/03/2019,03:10:00,0,3341.566,0,21.563,98.406
01/03/2019,03:15:00,0,3333.208,15.047,21.421,100.088
01/03/2019,03:20:00,0,3250.052,13.613,21.219,100.063
01/03/2019,03:25:00,0,3223.146,33.211,21.151,100.114
01/03/2019,03:30:00,0,3138.798,0,20.999,100.065
01/03/2019,03:35:00,0,3121.35,0,20.853,100.1
01/03/2019,03:40:00,0,3079.139,15.525,20.86,100.102
01/03/2019,03:45:00,0,3089.238,0,20.856,100.09
01/03/2019,03:50:00,0,3077.05,0,20.83,100.112
01/03/2019,03:55:00,0,3113.029,0,20.752,100.076
01/03/2019,04:00:00,0,3147.761,1.746,20.667,100.133
01/03/2019,04:05:00,0,3169.627,13.01,20.598,100.073
01/03/2019,04:10:00,0,3162.974,0,20.677,100.101
01/03/2019,04:15:00,0,3272.376,0,20.79,100.071
01/03/2019,04:20:00,0,3331.54,20.658,20.641,100.089
01/03/2019,04:25:00,0,3297.669,0,20.556,100.073
01/03/2019,04:30:00,0,3304.597,0,20.424,100.138
01/03/2019,04:35:00,0,3323.677,0,20.369,100.08
01/03/2019,04:40:00,0,3252.655,15.483,20.234,100.103
01/03/2019,04:45:00,0,3274.3,22.237,20.198,100.107
01/03/2019,04:50:00,0,3318.105,17.374,20.161,100.116
01/03/2019,04:55:00,0,3280.624,0,20.111,100.106
01/03/2019,05:00:00,0,3260.462,0,20.117,100.076
01/03/2019,05:05:00,0,3339.66,0,20.222,100.073
01/03/2019,05:10:00,0,3418.417,57.734,20.163,100.062
01/03/2019,05:15:00,0,3387.533,16.979,20.082,100.133
01/03/2019,05:20:00,0,3380.44,0,20.1,100.073
01/03/2019,05:25:00,0,3401.976,14.652,20.064,100.104
01/03/2019,05:30:00,0,3457.053,0,20.11,100.07
01/03/2019,05:35:00,0,3411.324,0,20.069,100.085
01/03/2019,05:40:00,0,3366.547,0,20.021,100.068
01/03/2019,05:45:00,0,3375.07,17.166,19.954,100.069
01/03/2019,05:50:00,0,3363.615,0,19.945,100.108
01/03/2019,05:55:00,0,3401.371,0,19.953,100.103
01/03/2019,06:00:00,0,3421.184,0,19.943,100.093
01/03/2019,06:05:00,0,3497.027,47.073,19.991,100.105
01/03/2019,06:10:00,0,3451.298,31.195,19.999,100.115
01/03/2019,06:15:00,0,3479.396,17.125,19.931,100.093
01/03/2019,06:20:00,0,3607.676,0,19.966,100.072
01/03/2019,06:25:00,0,3644.205,20.325,20.088,100.089
01/03/2019,06:30:00,0,3794.425,21.531,20.233,100.09
01/03/2019,06:35:00,0,4026.352,0,20.354,100.151
01/03/2019,06:40:00,0,4091.95,37.7,20.291,100.081
01/03/2019,06:45:00,0,4110.077,15.338,20.444,100.125
01/03/2019,06:50:00,0,4150.509,59.293,20.429,100.083
01/03/2019,06:55:00,0,4169.882,59.854,20.675,100.105
01/03/2019,07:00:00,0,4372.943,31.382,20.705,100.138
01/03/2019,07:05:00,0,4769.185,40.027,21.048,100.146
01/03/2019,07:10:00,0,5377.103,41.087,21.418,100.121
01/03/2019,07:15:00,0,5830.951,51.188,21.587,100.075
01/03/2019,07:20:00,0,6188.044,30.571,21.86,100.081
01/03/2019,07:25:00,0,6795.191,41.648,21.924,100.106
01/03/2019,07:30:00,0,7117.039,68.562,21.986,100.102
01/03/2019,07:35:00,0,7124.168,42.999,22.66,99.621
01/03/2019,07:40:00,0,6908.736,72.137,23.062,95.307
01/03/2019,07:45:00,0,6732.765,67.253,23.734,92.073
01/03/2019,07:50:00,0,6473.583,63.304,23.813,90.044
01/03/2019,07:55:00,0,5610.332,66.359,23.61,85.997
01/03/2019,08:00:00,0,3997.907,41.357,23.518,89.587
01/03/2019,08:05:00,0,3919.259,46.948,24.003,89.978
01/03/2019,08:10:00,0,3596.203,81.364,23.464,91.539
01/03/2019,08:15:00,0,3457.09,13.654,23.333,91.26
01/03/2019,08:20:00,0,3550.785,86.768,23.703,92.524
01/03/2019,08:25:00,0,4301.535,82.216,24.063,88.848
01/03/2019,08:30:00,0,4273.108,80.928,24.236,86.76
01/03/2019,08:35:00,0,4041.015,99.902,24.824,87.923
01/03/2019,08:40:00,0,3625.052,71.326,24.76,82.806
01/03/2019,08:45:00,0,2900.547,62.182,24.782,82.385
01/03/2019,08:50:00,0,2512.094,42.043,24.543,81.12
01/03/2019,08:55:00,0,2113.011,77.228,24.477,79.54
01/03/2019,09:00:00,0,2356.816,74.277,24.814,76.802
01/03/2019,09:05:00,0,2720.104,115.905,24.98,76.995
01/03/2019,09:10:00,0,2552.582,101.731,25.092,76.549
01/03/2019,09:15:00,0,2380.936,101.939,25.452,75.499
01/03/2019,09:20:00,0,1869.353,120.789,25.575,71.237
01/03/2019,09:25:00,0,2017.887,139.306,26.085,68.86
01/03/2019,09:30:00,0,1926.08,109.462,26.451,70.182
01/03/2019,09:35:00,0,1970.196,101.627,26.752,70.83
01/03/2019,09:40:00,0,1747.597,104.765,26.852,68.041
01/03/2019,09:45:00,0,1566.787,84.502,26.728,67.325
01/03/2019,09:50:00,0,1362.022,93.293,26.588,69.741
01/03/2019,09:55:00,0,1501.611,130.848,27.06,69.981
01/03/2019,10:00:00,0,2282.934,79.286,27.666,68.803
01/03/2019,10:05:00,0,2292.172,109.109,27.87,71.759
01/03/2019,10:10:00,0,2119.536,119.001,27.583,69.487
01/03/2019,10:15:00,0,1840.834,84.502,27.072,69.858
01/03/2019,10:20:00,0,1680.02,85.209,27.031,73.137
01/03/2019,10:25:00,0,1990.926,113.598,27.502,71.52
01/03/2019,10:30:00,0,2358.007,5.715,27.916,70.896
01/03/2019,10:35:00,0,979.27,27.121,26.647,74.971
01/03/2019,10:40:00,0,963.269,100.235,26.413,73.883
01/03/2019,10:45:00,0,2028.37,156.93,27.594,72.18
01/03/2019,10:50:00,0,2570.031,146.933,28.473,68.3
01/03/2019,10:55:00,0,2819.041,158.572,28.608,69.881
01/03/2019,11:00:00,0,2799.502,153.501,28.477,71.919
01/03/2019,11:05:00,0,1966.549,46.096,27.511,69.558
01/03/2019,11:10:00,0,1793.638,62.826,27.674,71.686
01/03/2019,11:15:00,0,1917.648,148.908,28.224,72.469
01/03/2019,11:20:00,0,2227.82,194.131,28.865,73.617
01/03/2019,11:25:00,0,2195.104,155.828,27.867,72.709
01/03/2019,11:30:00,0,2528.645,199.264,29.179,69.869
01/03/2019,11:35:00,0,2088.286,105.555,27.868,74.619
01/03/2019,11:40:00,0,1977.417,174.366,28.328,70.111
01/03/2019,11:45:00,0,2293.858,125.631,28.32,69.135
01/03/2019,11:50:00,0,1913.543,177.297,28.196,72.121
01/03/2019,11:55:00,0,2218.381,198.391,28.704,68.105
01/03/2019,12:00:00,0,2337.168,156.369,28.509,70.377
01/03/2019,12:05:00,0,2250.401,154.997,28.693,72.021
01/03/2019,12:10:00,0,2226.409,131.596,28.076,70.397
01/03/2019,12:15:00,0,1478.866,82.694,27.7,72.173
01/03/2019,12:20:00,0,1432.807,101.004,27.709,72.268
01/03/2019,12:25:00,0,1928.004,157.262,28.453,72.318
01/03/2019,12:30:00,0,1757.916,168.381,28.413,73.352
01/03/2019,12:35:00,0,1641.897,134.297,28.099,69.617
01/03/2019,12:40:00,0,1653.939,152.69,27.943,74.656
01/03/2019,12:45:00,0,2063.836,143.691,28.502,69.891
