Data,Horário,Pluviógrafo,Piranômetro superior,Piranômetro inferior,Temperatura do Ar,Umidade relativa do ar
DD/MM/YY,HH:MM:SS,Polegadas,(J/m²),(J/m²),C°,%
29/05/2019,16:45:00,0,351.887,25.126,20.988,95.425
29/05/2019,16:50:00,0,422.342,63.346,20.915,98.313
29/05/2019,16:55:00,0,483.687,0,20.782,97.905
29/05/2019,17:00:00,0,561.491,22.632,20.789,97.978
29/05/2019,17:05:00,0,612.628,0,20.664,99.317
29/05/2019,17:10:00,0,671.59,2.307,20.719,100.071
29/05/2019,17:15:00,0,698.661,10.183,20.63,100.088
29/05/2019,17:20:00,0,707.037,34.749,20.53,100.107
29/05/2019,17:25:00,0,722.818,0,20.422,99.108
29/05/2019,17:30:00,0,759.347,0,20.503,100.05
29/05/2019,17:35:00,0,794.959,0,20.409,100.071
29/05/2019,17:40:00,0,914.699,0,20.476,100.099
29/05/2019,17:45:00,0,1023.221,15.878,20.565,100.046
29/05/2019,17:50:00,0,1132.843,0,20.579,79.379
29/05/2019,17:55:00,0,1189.148,0,20.452,100.112
29/05/2019,18:00:00,0,1228.17,1.018,20.585,100.121
29/05/2019,18:05:00,0,1198.313,0,20.433,100.086
29/05/2019,18:10:00,0,1100.622,20.679,20.403,100.079
29/05/2019,18:15:00,0,1085.886,0,20.384,100.074
29/05/2019,18:20:00,0,1148.478,0,20.216,100.12
29/05/2019,18:25:00,0,1112.004,0,20.217,100.127
29/05/2019,18:30:00,0,1092.576,26.519,20.252,100.064
29/05/2019,18:35:00,0,1120.014,0,20.159,100.097
29/05/2019,18:40:00,0,1096.058,0,20.111,100.036
29/05/2019,18:45:00,0,1142.374,2.037,20.042,100.1
29/05/2019,18:50:00,0,1067.686,8.604,19.992,100.116
29/05/2019,18:55:00,0,1129.691,3.18,19.916,100.105
29/05/2019,19:00:00,0,1137.132,0,19.94,100.115
29/05/2019,19:05:00,0,1216.568,0,19.956,100.075
29/05/2019,19:10:00,0,1252.363,0,20.007,100.079
29/05/2019,19:15:00,0,1341.054,12.781,19.899,100.108
29/05/2019,19:20:00,0,1348.514,4.738,19.816,100.046
29/05/2019,19:25:00,0,1453.353,5.466,19.94,100.112
29/05/2019,19:30:00,0,1461.399,0,19.906,100.058
29/05/2019,19:35:00,0,1747.194,0,20.011,100.11
29/05/2019,19:40:00,0,1777.216,2.66,19.921,100.079
29/05/2019,19:45:00,0,1788.543,22.84,19.966,100.036
29/05/2019,19:50:00,0,1811.325,36.12,19.952,100.147
29/05/2019,19:55:00,0,1861.069,0,19.916,100.127
29/05/2019,20:00:00,0,2150.181,35.185,19.983,81.939
29/05/2019,20:05:00,0,2604.488,0,20.073,100.123
29/05/2019,20:10:00,0,2906.522,16.834,20.22,100.11
29/05/2019,20:15:00,0,3148.127,41.129,20.241,100.062
29/05/2019,20:20:00,0,3356.595,0,20.178,100.065
29/05/2019,20:25:00,0,3546.294,0,20.293,100.069
29/05/2019,20:30:00,0,3787.68,50.086,20.318,100.144
29/05/2019,20:35:00,0,3947.119,6.463,20.322,100.116
29/05/2019,20:40:00,0,4060.388,21.614,20.342,100.094
29/05/2019,20:45:00,0,4128.772,0,20.352,100.067
29/05/2019,20:50:00,0,4218.141,0,20.357,100.069
29/05/2019,20:55:00,0,4290.502,0,20.331,100.064
29/05/2019,21:00:00,0,4303.093,32.338,20.31,100.099
29/05/2019,21:05:00,0,4372.851,37.346,20.317,100.097
29/05/2019,21:10:00,0,4416.601,17.208,20.226,100.107
29/05/2019,21:15:00,0,4459.691,0,20.299,100.117
29/05/2019,21:20:00,0,4528.46,0,20.298,100.132
29/05/2019,21:25:00,0,4544.057,0,20.192,100.084
29/05/2019,21:30:00,0,4574.776,0,20.278,100.092
29/05/2019,21:35:00,0,4617.719,0,20.229,100.072
29/05/2019,21:40:00,0,4648.841,0,20.265,100.071
29/05/2019,21:45:00,0,4689.787,48.008,20.298,100.054
29/05/2019,21:50:00,0,4658.152,0,20.315,100.092
29/05/2019,21:55:00,0,4749.116,35.996,20.244,88.061
29/05/2019,22:00:00,0,4781.759,4.24,20.331,96.3
29/05/2019,22:05:00,0,4398.914,0,20.384,0.116
29/05/2019,22:10:00,0,4766.198,31.714,20.264,100.118
29/05/2019,22:15:00,0,4764.548,0,20.235,100.084
29/05/2019,22:20:00,0,4732.51,0,20.29,100.071
29/05/2019,22:25:00,0,4797.155,0,20.267,100.065
29/05/2019,22:30:00,0,4790.391,27.703,20.303,100.07
29/05/2019,22:35:00,0,4929.412,3.471,20.341,100.128
29/05/2019,22:40:00,0,4837.11,4.635,20.33,100.085
29/05/2019,22:45:00,0,4817.719,5.944,20.14,100.097
29/05/2019,22:50:00,0,4851.608,11.618,20.157,100.081
29/05/2019,22:55:00,0,4835.534,0,20.104,100.091
29/05/2019,23:00:00,0,4839.2,5.445,20.018,100.12
29/05/2019,23:05:00,0,4857.033,0,19.902,100.089
29/05/2019,23:10:00,0,4823.511,20.783,19.824,100.109
29/05/2019,23:15:00,0,4791.986,20.741,19.738,100.12
29/05/2019,23:20:00,0,4811.707,0,19.702,100.107
